"Ahoj, slunko",Jaromír Nohavica,['Táborové']
Derivace,Špatnì temperovaný klavír,[]
Frankie Dlouhán,Brontosauøi,['Táborové']
Hodinový hotel,Mòága a ždorp,[]
"Jdou po mnì, jdou",Jaromír Nohavica,"['Táborové', 'Odrhovaèka']"
Krasojezdkynì,Traband,['Rock']
Let it be,Beatles,['Anglické']
Made in Valmez,Mòága a ždorp,"['Táborové', 'Odrhovaèka']"
Malování,Divokej Bill,"['Rock', 'Odrhovaèka']"
Mám doma koèku,Pokáè ,"['Táborové', 'Odrhovaèka']"
Otherside,Red hot chilli peppers,"['Rock', 'Anglické']"
Pøítel,Jaromír Nohavica,"['Táborové', 'Smutné']"
V lese,Pokáè,['Táborové']
V poøádku,Nerez,['Táborové']
Ve skøíni,Karel Plíhal,['Táborové']
Èarodìjka,Volant,"['Punk', 'Rock', 'Odrhovaèka']"
Èarodìjnice z Amesbury,Asonance,"['Táborové', 'Smutné']"
Èernobílý svìt,Totální nasazení,"['Punk', 'Odrhovaèka']"
